120 | 120 g de sucre semoule @ QUANTITY
g | 120 g de sucre semoule @ UNIT
de | 120 g de sucre semoule @ NONE
sucre | 120 g de sucre semoule @ INGREDIENT
semoule | 120 g de sucre semoule @ INGREDIENT
1 | 1 paquets de sucre vanille @ QUANTITY
paquets | 1 paquets de sucre vanille @ UNIT
de | 1 paquets de sucre vanille @ NONE
sucre | 1 paquets de sucre vanille @ INGREDIENT
vanille | 1 paquets de sucre vanille @ INGREDIENT
3 | 3 oeufs @ QUANTITY
oeufs | 3 oeufs @ INGREDIENT
1/2 | 1/2 paquets de levure chimique @ QUANTITY
paquets | 1/2 paquets de levure chimique @ UNIT
de | 1/2 paquets de levure chimique @ NONE
levure | 1/2 paquets de levure chimique @ INGREDIENT
chimique | 1/2 paquets de levure chimique @ INGREDIENT
125 | 125 g de farine @ QUANTITY
g | 125 g de farine @ UNIT
de | 125 g de farine @ NONE
farine | 125 g de farine @ INGREDIENT
1/2 | 1/2 verres d'huile de colza @ QUANTITY
verres | 1/2 verres d'huile de colza @ UNIT
d'| 1/2 verres d'huile de colza @ NONE
huile | 1/2 verres d'huile de colza @ INGREDIENT
de | 1/2 verres d'huile de colza @ NONE
colza | 1/2 verres d'huile de colza @ INGREDIENT
3 | 3 pommes @ QUANTITY
pommes | 3 pommes @ INGREDIENT
200 | 200 g de chocolat patissier @ QUANTITY
g | 200 g de chocolat patissier @ UNIT
de | 200 g de chocolat patissier @ NONE
chocolat | 200 g de chocolat patissier @ INGREDIENT
patissier | 200 g de chocolat patissier @ INGREDIENT
100 | 100 g de beurre + une noix pour le moule @ QUANTITY
g | 100 g de beurre + une noix pour le moule @ UNIT
de | 100 g de beurre + une noix pour le moule @ NONE
beurre | 100 g de beurre + une noix pour le moule @ INGREDIENT
+ | 100 g de beurre + une noix pour le moule @ NONE
une | 100 g de beurre + une noix pour le moule @ NONE
noix | 100 g de beurre + une noix pour le moule @ NONE
pour | 100 g de beurre + une noix pour le moule @ NONE
le | 100 g de beurre + une noix pour le moule @ NONE
moule | 100 g de beurre + une noix pour le moule @ NONE
3 | 3 oeufs @ QUANTITY
oeufs | 3 oeufs @ INGREDIENT
50 | 50 g de farine @ QUANTITY
g | 50 g de farine @ UNIT
de | 50 g de farine @ NONE
farine | 50 g de farine @ INGREDIENT
100 | 100 g de sucre en poudre @ QUANTITY
g | 100 g de sucre en poudre @ UNIT
de | 100 g de sucre en poudre @ NONE
sucre | 100 g de sucre en poudre @ INGREDIENT
en | 100 g de sucre en poudre @ NONE
poudre | 100 g de sucre en poudre @ NONE
375 | 375 g de farine tamisee @ QUANTITY
g | 375 g de farine tamisee @ UNIT
de | 375 g de farine tamisee @ NONE
farine | 375 g de farine tamisee @ INGREDIENT
tamisee | 375 g de farine tamisee @ NONE
3 | 3 pincees de sel @ QUANTITY
pincees | 3 pincees de sel @ NONE
de | 3 pincees de sel @ NONE
sel | 3 pincees de sel @ INGREDIENT
75 | 75 g de sucre en poudre @ QUANTITY
g | 75 g de sucre en poudre @ UNIT
de | 75 g de sucre en poudre @ NONE
sucre | 75 g de sucre en poudre @ INGREDIENT
en | 75 g de sucre en poudre @ NONE
poudre | 75 g de sucre en poudre @ NONE
6 | 6 oeufs entiers @ QUANTITY
oeufs | 6 oeufs entiers @ INGREDIENT
entiers | 6 oeufs entiers @ NONE
90 | 90 g de beurre fondu @ QUANTITY
g | 90 g de beurre fondu @ UNIT
de | 90 g de beurre fondu @ NONE
beurre | 90 g de beurre fondu @ INGREDIENT
fondu | 90 g de beurre fondu @ NONE
1 | 1 l de lait @ QUANTITY
l | 1 l de lait @ UNIT
de | 1 l de lait @ NONE
lait | 1 l de lait @ INGREDIENT
3 | 3 grand-marnier ou de rhum @ QUANTITY
grand-marnier | 3 grand-marnier ou de rhum @ INGREDIENT
ou | 3 grand-marnier ou de rhum @ OR
de | 3 grand-marnier ou de rhum @ NONE
rhum | 3 grand-marnier ou de rhum @ INGREDIENT
5 | 5 oeufs @ QUANTITY
oeufs | 5 oeufs @ INGREDIENT
500 | 500 g de farine @ QUANTITY
g | 500 g de farine @ UNIT
de | 500 g de farine @ NONE
farine | 500 g de farine @ INGREDIENT
1 | 1 l de lait demi-ecreme @ QUANTITY
l | 1 l de lait demi-ecreme @ UNIT
de | 1 l de lait demi-ecreme @ NONE
lait | 1 l de lait demi-ecreme @ INGREDIENT
demi-ecreme | 1 l de lait demi-ecreme @ NONE
3 | 3 cuilleres a soupe d'huile @ QUANTITY
cuilleres | 3 cuilleres a soupe d'huile @ UNIT
a | 3 cuilleres a soupe d'huile @ NONE
soupe | 3 cuilleres a soupe d'huile @ UNIT
d' | 3 cuilleres a soupe d'huile @ NONE
huile | 3 cuilleres a soupe d'huile @ INGREDIENT
1/2 | 1/2 verres de biere @ QUANTITY
verres | 1/2 verres de biere @ UNIT
de | 1/2 verres de biere @ NONE
biere | 1/2 verres de biere @ INGREDIENT
800 | 800 g de boeuf pour bourguignon @ QUANTITY
g | 800 g de boeuf pour bourguignon @ UNIT
de | 800 g de boeuf pour bourguignon @ NONE
boeuf | 800 g de boeuf pour bourguignon @ INGREDIENT
pour | 800 g de boeuf pour bourguignon @ NONE
bourguignon | 800 g de boeuf pour bourguignon @ NONE
100 | 100 g de lardons @ QUANTITY
g | 100 g de lardons @ UNIT
de | 100 g de lardons @ NONE
lardons | 100 g de lardons @ INGREDIENT
50 | 50 g de beurre ou 3 cuilleres a soupe d'huile @ QUANTITY
g | 50 g de beurre ou 3 cuilleres a soupe d'huile @ UNIT
de | 50 g de beurre ou 3 cuilleres a soupe d'huile @ NONE
beurre | 50 g de beurre ou 3 cuilleres a soupe d'huile @ INGREDIENT
ou | 50 g de beurre ou 3 cuilleres a soupe d'huile @ OR
3 | 50 g de beurre ou 3 cuilleres a soupe d'huile @ QUANTITY
cuilleres | 50 g de beurre ou 3 cuilleres a soupe d'huile @ UNIT
a | 50 g de beurre ou 3 cuilleres a soupe d'huile @ NONE
soupe | 50 g de beurre ou 3 cuilleres a soupe d'huile @ UNIT
d' | 50 g de beurre ou 3 cuilleres a soupe d'huile @ NONE
huile | 50 g de beurre ou 3 cuilleres a soupe d'huile @ INGREDIENT
2/3 | 2/3 l de vin rouge @ QUANTITY
l | 2/3 l de vin rouge @ UNIT
de | 2/3 l de vin rouge @ NONE
vin | 2/3 l de vin rouge @ INGREDIENT
rouge | 2/3 l de vin rouge @ INGREDIENT
2 | 2 oignons @ QUANTITY
oignons | 2 oignons @ INGREDIENT
1 | 1 gousses d'ail @ QUANTITY
gousses | 1 gousses d'ail @ NONE
d' | 1 gousses d'ail @ NONE
ail | 1 gousses d'ail @ INGREDIENT
2 | 2 cuilleres a soupe de farine @ QUANTITY
cuilleres | 2 cuilleres a soupe de farine @ UNIT
a | 2 cuilleres a soupe de farine @ NONE
soupe | 2 cuilleres a soupe de farine @ UNIT
de | 2 cuilleres a soupe de farine @ NONE
farine | 2 cuilleres a soupe de farine @ INGREDIENT
250 | 250 g de champignons de Paris en boite @ QUANTITY
g | 250 g de champignons de Paris en boite @ UNIT
de | 250 g de champignons de Paris en boite @ NONE
champignons | 250 g de champignons de Paris en boite @ INGREDIENT
de | 250 g de champignons de Paris en boite @ NONE
Paris | 250 g de champignons de Paris en boite @ INGREDIENT
en | 250 g de champignons de Paris en boite @ NONE
boite | 250 g de champignons de Paris en boite @ NONE
sel | sel @ INGREDIENT
poivre | poivre @ INGREDIENT
1 | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ QUANTITY
 | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ NONE
roti | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
de | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ NONE
900 | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
g | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
2 | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
lb | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
de | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ NONE
filet | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
de | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ NONE
bœuf | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
dans | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
le | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ NONE
centre | 1  roti de 900 g 2 lb de filet de bœuf dans le centre @ INGREDIENT
30 | 30 ml 2 c. a soupe d'huile vegetale @ QUANTITY
ml | 30 ml 2 c. a soupe d'huile vegetale @ UNIT
2 | 30 ml 2 c. a soupe d'huile vegetale @ NONE
c. | 30 ml 2 c. a soupe d'huile vegetale @ NONE
a | 30 ml 2 c. a soupe d'huile vegetale @ NONE
soupe | 30 ml 2 c. a soupe d'huile vegetale @ NONE
d' | 30 ml 2 c. a soupe d'huile vegetale @ NONE
huile | 30 ml 2 c. a soupe d'huile vegetale @ INGREDIENT
vegetale | 30 ml 2 c. a soupe d'huile vegetale @ NONE
2 | 2 echalotes francaises @ QUANTITY
echalotes | 2 echalotes francaises @ INGREDIENT
francaises | 2 echalotes francaises @ NONE
2 | 2 gousses d'ail @ QUANTITY
gousses | 2 gousses d'ail @ NONE
d' | 2 gousses d'ail @ NONE
ail | 2 gousses d'ail @ INGREDIENT
340 | 340 g 3/4 lb de champignons blancs @ QUANTITY
g | 340 g 3/4 lb de champignons blancs @ UNIT
3/4 | 340 g 3/4 lb de champignons blancs @ NONE
lb | 340 g 3/4 lb de champignons blancs @ NONE
de | 340 g 3/4 lb de champignons blancs @ NONE
champignons | 340 g 3/4 lb de champignons blancs @ INGREDIENT
blancs | 340 g 3/4 lb de champignons blancs @ INGREDIENT
5 | 5 ml 1/2 c. a the de thym cisele @ QUANTITY
ml | 5 ml 1/2 c. a the de thym cisele @ UNIT
1/2 | 5 ml 1/2 c. a the de thym cisele @ NONE
c. | 5 ml 1/2 c. a the de thym cisele @ NONE
a | 5 ml 1/2 c. a the de thym cisele @ NONE
the | 5 ml 1/2 c. a the de thym cisele @ NONE
de | 5 ml 1/2 c. a the de thym cisele @ NONE
thym | 5 ml 1/2 c. a the de thym cisele @ INGREDIENT
cisele | 5 ml 1/2 c. a the de thym cisele @ NONE
30 | 30 ml 2 c. a soupe de beurre non sale @ QUANTITY
ml | 30 ml 2 c. a soupe de beurre non sale @ UNIT
2 | 30 ml 2 c. a soupe de beurre non sale @ NONE
c. | 30 ml 2 c. a soupe de beurre non sale @ NONE
a | 30 ml 2 c. a soupe de beurre non sale @ NONE
soupe | 30 ml 2 c. a soupe de beurre non sale @ NONE
de | 30 ml 2 c. a soupe de beurre non sale @ NONE
beurre | 30 ml 2 c. a soupe de beurre non sale @ INGREDIENT
non | 30 ml 2 c. a soupe de beurre non sale @ NONE
sale | 30 ml 2 c. a soupe de beurre non sale @ NONE
30 | 30 ml 2 c. a soupe de madere @ QUANTITY
ml | 30 ml 2 c. a soupe de madere @ UNIT
2 | 30 ml 2 c. a soupe de madere @ NONE
c. | 30 ml 2 c. a soupe de madere @ NONE
a | 30 ml 2 c. a soupe de madere @ NONE
soupe | 30 ml 2 c. a soupe de madere @ NONE
de | 30 ml 2 c. a soupe de madere @ NONE
madere | 30 ml 2 c. a soupe de madere @ INGREDIENT
15 | 15 ml 1 c. a soupe de chapelure @ QUANTITY
ml | 15 ml 1 c. a soupe de chapelure @ UNIT
1 | 15 ml 1 c. a soupe de chapelure @ NONE
c. | 15 ml 1 c. a soupe de chapelure @ NONE
a | 15 ml 1 c. a soupe de chapelure @ NONE
soupe | 15 ml 1 c. a soupe de chapelure @ NONE
de | 15 ml 1 c. a soupe de chapelure @ NONE
chapelure | 15 ml 1 c. a soupe de chapelure @ INGREDIENT
1 | 1 œuf @ QUANTITY
œuf | 1 œuf @ INGREDIENT
15 | 15 ml 1 c. a soupe de lait @ QUANTITY
ml | 15 ml 1 c. a soupe de lait @ UNIT
1 | 15 ml 1 c. a soupe de lait @ NONE
c. | 15 ml 1 c. a soupe de lait @ NONE
a | 15 ml 1 c. a soupe de lait @ NONE
soupe | 15 ml 1 c. a soupe de lait @ NONE
de | 15 ml 1 c. a soupe de lait @ NONE
lait | 15 ml 1 c. a soupe de lait @ INGREDIENT
1 | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ QUANTITY
abaisse | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
de | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
450 | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
g | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
1 | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
lb | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
de | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
pate | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ INGREDIENT
feuilletee | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ INGREDIENT
du | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
commerce | 1 abaisse de 450 g 1 lb de pate feuilletee du commerce @ NONE
55 | 55 g 2 oz de pate de foie de volaille @ QUANTITY
g | 55 g 2 oz de pate de foie de volaille @ UNIT
2 | 55 g 2 oz de pate de foie de volaille @ NONE
oz | 55 g 2 oz de pate de foie de volaille @ NONE
de | 55 g 2 oz de pate de foie de volaille @ NONE
pate | 55 g 2 oz de pate de foie de volaille @ INGREDIENT
de | 55 g 2 oz de pate de foie de volaille @ NONE
foie | 55 g 2 oz de pate de foie de volaille @ INGREDIENT
de | 55 g 2 oz de pate de foie de volaille @ NONE
volaille | 55 g 2 oz de pate de foie de volaille @ INGREDIENT
 | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
coupe | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
en | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
tranches | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
de | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
1 | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
cm | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
1/2 | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
po | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
d'epaisseur | coupe en tranches de 1 cm 1/2 po d'epaisseur @ NONE
10 | 10 ml 2 c. a the de moutarde de Dijon @ QUANTITY
ml | 10 ml 2 c. a the de moutarde de Dijon @ UNIT
2 | 10 ml 2 c. a the de moutarde de Dijon @ NONE
c. | 10 ml 2 c. a the de moutarde de Dijon @ NONE
a | 10 ml 2 c. a the de moutarde de Dijon @ NONE
the | 10 ml 2 c. a the de moutarde de Dijon @ NONE
de | 10 ml 2 c. a the de moutarde de Dijon @ NONE
moutarde | 10 ml 2 c. a the de moutarde de Dijon @ INGREDIENT
de | 10 ml 2 c. a the de moutarde de Dijon @ NONE
Dijon | 10 ml 2 c. a the de moutarde de Dijon @ INGREDIENT
1 | 1 echalote francaise @ QUANTITY
echalote | 1 echalote francaise @ INGREDIENT
francaise | 1 echalote francaise @ NONE
 | hachee finement @ NONE
hachee | hachee finement @ NONE
finement | hachee finement @ NONE
40 | 40 g 3 c. a soupe de beurre non sale @ QUANTITY
g | 40 g 3 c. a soupe de beurre non sale @ UNIT
3 | 40 g 3 c. a soupe de beurre non sale @ NONE
c. | 40 g 3 c. a soupe de beurre non sale @ NONE
a | 40 g 3 c. a soupe de beurre non sale @ NONE
